Section,Topic,Topic_ID ,Level,Question,Option A,Option B,Option C,Option D,Correct,Explanation
advanced,General,0,hard,Artificial Intelligence is best defined as:,A system that stores and retrieves data,A machine that follows fixed instructions,A field that enables machines to perform tasks requiring human intelligence,A hardware-based automation technique,c,"AI focuses on creating systems that can perform tasks like learning, reasoning, and decision-making. These tasks normally require human intelligence, such as recognizing patterns or making judgments."
advanced,General,0,medium,Which of the following correctly represents the currently existing type of AI?,Super AI,General AI,Narrow AI,Human-level AI,c,"Narrow AI is designed to perform a specific task, such as voice assistants or recommendation systems. General AI and Super AI are theoretical and do not exist yet."
advanced,General,0,hard,Which option best distinguishes AI from human intelligence?,AI can think creatively like humans,"Humans require training data, AI does not",AI lacks emotions and self-awareness,Humans cannot learn from experience,c,"AI systems can process data and make decisions but do not possess emotions, consciousness, or self-awareness. Human intelligence includes emotional and social understanding, which AI lacks."
advanced,General,0,medium,Which of the following is a major limitation and ethical concern of AI?,High speed of processing,Bias in decision-making,Automation of tasks,Large data handling,b,"AI systems can inherit bias from training data, leading to unfair or incorrect decisions. This raises ethical concerns related to fairness, privacy, and accountability."
advanced,General,0,medium,Machine Learning is best described as:,A system that follows predefined rules,A technique to store large datasets,A method that enables systems to learn patterns from data,A hardware-based automation process,c,Machine Learning allows systems to learn from data instead of being explicitly programmed. The system improves its performance by identifying patterns and relationships in data.
advanced,General,0,easy,Why is Machine Learning needed instead of traditional programming?,Traditional programs are slower,ML works without data,Rule-based systems fail for complex problems,ML eliminates human effort completely,c,"For complex and dynamic problems (like image or speech recognition), writing fixed rules is impractical. ML automatically learns rules from data, making it more flexible."
basics,Artificial Intelligence,1,,A model that performs well on training data but poorly on unseen data is said to have:,Underfitting,Generalization,Overfitting,Optimization,c,Overfitting occurs when a model memorizes training data instead of learning general patterns. Such a model fails to perform well on new or unseen data.
basics,Artificial Intelligence,1,,Underfitting in Machine Learning occurs when a model is:,Too complex,Too simple to capture data patterns,Perfectly trained,Optimized correctly,b,Underfitting happens when the model is overly simple and cannot learn the underlying structure of the data. This leads to poor performance on both training and testing data.
basics,Artificial Intelligence,1,,"Which statement correctly represents the relation between AI, ML, and DL?",AI ⊂ ML ⊂ DL,ML ⊂ AI and DL ⊂ ML,DL ⊂ AI and ML ⊂ DL,"AI, ML, and DL are independent",b,"Machine Learning is a subset of Artificial Intelligence, and Deep Learning is a subset of Machine Learning. Each level adds more complexity and capability."
advanced,General,0,hard,Which type of Machine Learning uses labeled data for training?,Unsupervised Learning,Reinforcement Learning,Supervised Learning,Online Learning,c,Supervised learning uses datasets where input data is paired with correct output labels. The model learns by comparing its predictions with known answers.
